stateabb,sedaadmin,sedaadminname,subject,ys_mn19_ol,ys_mn19_ol_se,ys_mn19_eb,ys_mn19_eb_se,ys_mn22_ol,ys_mn22_ol_se,ys_mn22_eb,ys_mn22_eb_se,ys_chg_ol,ys_chg_ol_se,ys_chg_eb,ys_chg_eb_se,tot_asmt19,tot_asmt22,cell19,cell22,avg_asmt19,avg_asmt22
AZ,400790,APACHE JUNCTION UNIFIED DISTRICT,mth,-0.383,0.06403243,-0.397,0.059,-0.713,0.07727565,-0.684,0.0695,-0.33,0.10036737,-0.287,0.0821,1699,1239,6,6,283.2,206.5
AZ,400790,APACHE JUNCTION UNIFIED DISTRICT,rla,-0.426,0.04696015,-0.442,0.0437,-0.565,0.05535429,-0.539,0.0502,-0.139,0.07250716,-0.0966,0.0604,1695,1222,6,6,282.5,203.7
AZ,400960,AVONDALE ELEMENTARY DISTRICT,mth,-0.0577,0.05992167,-0.0478,0.0554,-0.172,0.06213368,-0.181,0.058,-0.114,0.08631132,-0.133,0.0741,3903,3430,6,6,650.5,571.7
AZ,400960,AVONDALE ELEMENTARY DISTRICT,rla,-0.192,0.03847214,-0.182,0.0365,-0.126,0.04049236,-0.134,0.0382,0.0654,0.05573251,0.0486,0.0496,3890,3408,6,6,648.3,568.0
AZ,401050,BALSZ ELEMENTARY DISTRICT,mth,-0.513,0.06722512,-0.526,0.062,-0.846,0.07801019,-0.809,0.0697,-0.332,0.10186001,-0.283,0.0829,1473,1196,6,6,245.5,199.3
AZ,401050,BALSZ ELEMENTARY DISTRICT,rla,-0.537,0.0449091,-0.544,0.042,-0.622,0.05439116,-0.606,0.0493,-0.0851,0.07063215,-0.0622,0.0594,1471,1196,6,6,245.2,199.3
AZ,401380,BUCKEYE ELEMENTARY DISTRICT,rla,-0.491,0.03962208,-0.472,0.0375,-0.325,0.04112085,-0.343,0.0388,0.166,0.05705147,0.129,0.0506,3648,3221,6,6,608.0,536.8
AZ,401380,BUCKEYE ELEMENTARY DISTRICT,mth,-0.57,0.06102425,-0.52,0.0564,-0.441,0.06277091,-0.483,0.0585,0.129,0.08755722,0.0373,0.0749,3661,3232,6,6,610.2,538.7
AZ,401460,SIERRA VISTA UNIFIED DISTRICT,rla,0.0232,0.04081165,0.0203,0.0385,0.00382,0.0435757,0.00575,0.0408,-0.0194,0.05970667,-0.0145,0.0524,2265,1743,6,6,377.5,290.5
AZ,401460,SIERRA VISTA UNIFIED DISTRICT,mth,-0.00771,0.06097653,-0.0118,0.0563,-0.2,0.06477672,-0.196,0.0601,-0.192,0.08896177,-0.184,0.0757,2271,1769,6,6,378.5,294.8
AZ,401500,BULLHEAD CITY SCHOOL DISTRICT,mth,-0.495,0.06518808,-0.489,0.0601,-0.665,0.07262775,-0.658,0.066,-0.17,0.0971334,-0.169,0.0805,1719,1335,6,6,286.5,222.5
AZ,401500,BULLHEAD CITY SCHOOL DISTRICT,rla,-0.522,0.04612804,-0.521,0.043,-0.537,0.05180121,-0.532,0.0474,-0.0145,0.06936648,-0.0107,0.0586,1710,1330,6,6,285.0,221.7
AZ,401600,CAMP VERDE UNIFIED DISTRICT,mth,-0.487,0.07361772,-0.44,0.0661,-0.477,0.07183435,-0.51,0.066,0.00997,0.1028567,-0.0699,0.0837,697,626,6,6,116.2,104.3
AZ,401600,CAMP VERDE UNIFIED DISTRICT,rla,-0.414,0.05363345,-0.413,0.0493,-0.428,0.06589519,-0.424,0.0579,-0.0133,0.08491538,-0.0101,0.0671,697,526,6,5,116.2,105.2
AZ,401680,CARTWRIGHT ELEMENTARY DISTRICT,mth,-0.444,0.05833169,-0.457,0.0542,-0.733,0.06168472,-0.714,0.0576,-0.29,0.08489883,-0.257,0.0731,11011,8198,6,6,1835.2,1366.3
AZ,401680,CARTWRIGHT ELEMENTARY DISTRICT,rla,-0.527,0.03628619,-0.53,0.0346,-0.581,0.03850651,-0.575,0.0365,-0.0537,0.05286747,-0.0445,0.0476,10983,8181,6,6,1830.5,1363.5
AZ,401710,CASA GRANDE ELEMENTARY DISTRICT,mth,-0.432,0.05961221,-0.441,0.0552,-0.749,0.06407204,-0.732,0.0595,-0.317,0.08751591,-0.291,0.0748,4542,3608,6,6,757.0,601.3
AZ,401710,CASA GRANDE ELEMENTARY DISTRICT,rla,-0.414,0.03856867,-0.427,0.0366,-0.586,0.04322481,-0.564,0.0405,-0.172,0.05776571,-0.137,0.0511,4515,3597,6,6,752.5,599.5
