stateabb,sedaadmin,sedaadminname,subject,ys_mn19_ol,ys_mn19_ol_se,ys_mn19_eb,ys_mn19_eb_se,ys_mn22_ol,ys_mn22_ol_se,ys_mn22_eb,ys_mn22_eb_se,ys_chg_ol,ys_chg_ol_se,ys_chg_eb,ys_chg_eb_se,tot_asmt19,tot_asmt22,cell19,cell22,avg_asmt19,avg_asmt22
CT,900570,BROOKLYN SCHOOL DISTRICT,rla,0.279,0.05546931,0.268,0.0478,0.0641,0.05329132,0.0755,0.0475,-0.215,0.07690587,-0.193,0.057,538,514,6,6,89.7,85.7
CT,900690,CANTON SCHOOL DISTRICT,mth,0.584,0.06028183,0.557,0.0537,0.336,0.05933369,0.349,0.0547,-0.248,0.08451197,-0.208,0.0685,713,649,6,6,118.8,108.2
CT,900690,CANTON SCHOOL DISTRICT,rla,0.505,0.05443394,0.487,0.047,0.354,0.05161928,0.363,0.0464,-0.151,0.07487821,-0.125,0.0563,715,651,6,6,119.2,108.5
CT,900750,CHESHIRE SCHOOL DISTRICT,mth,0.762,0.05173501,0.756,0.0473,0.654,0.05283968,0.649,0.0493,-0.108,0.07393467,-0.107,0.0625,1845,1803,6,6,307.5,300.5
CT,900750,CHESHIRE SCHOOL DISTRICT,rla,0.803,0.04501895,0.776,0.0401,0.629,0.04354008,0.644,0.0399,-0.174,0.06252317,-0.132,0.0502,1843,1809,6,6,307.2,301.5
CT,900810,CLINTON SCHOOL DISTRICT,mth,0.229,0.0596511,0.24,0.0533,0.106,0.05729367,0.0964,0.053,-0.123,0.08307038,-0.144,0.0679,630,645,5,6,126.0,107.5
CT,900810,CLINTON SCHOOL DISTRICT,rla,0.208,0.05378402,0.217,0.0467,0.13,0.05017534,0.121,0.0451,-0.0776,0.07380084,-0.0961,0.0561,624,645,5,6,124.8,107.5
CT,900840,COLCHESTER SCHOOL DISTRICT,mth,0.56,0.05395945,0.569,0.049,0.464,0.05530346,0.453,0.0513,-0.0965,0.07729813,-0.116,0.0646,1005,913,6,6,167.5,152.2
CT,900840,COLCHESTER SCHOOL DISTRICT,rla,0.426,0.04619882,0.423,0.0411,0.305,0.04558862,0.307,0.0415,-0.121,0.06481456,-0.117,0.0514,1006,915,6,6,167.7,152.5
CT,900960,COVENTRY SCHOOL DISTRICT,rla,0.613,0.05032104,0.619,0.0441,0.538,0.0509904,0.531,0.0458,-0.0754,0.07134126,-0.0886,0.0547,731,742,6,6,121.8,123.7
CT,900960,COVENTRY SCHOOL DISTRICT,mth,0.531,0.05479047,0.517,0.0496,0.314,0.05610438,0.321,0.052,-0.217,0.0783578,-0.195,0.0651,730,740,6,6,121.7,123.3
CT,900990,CROMWELL SCHOOL DISTRICT,rla,0.37,0.0473762,0.362,0.0421,0.192,0.04754414,0.199,0.043,-0.178,0.06713591,-0.162,0.0528,934,897,6,6,155.7,149.5
CT,900990,CROMWELL SCHOOL DISTRICT,mth,0.407,0.0556323,0.394,0.0503,0.155,0.05601882,0.166,0.0519,-0.252,0.07894553,-0.228,0.0655,937,895,6,6,156.2,149.2
CT,901020,DANBURY SCHOOL DISTRICT,mth,-0.135,0.04646384,-0.148,0.0431,-0.477,0.04854428,-0.462,0.0457,-0.343,0.06720155,-0.313,0.0583,5395,5535,6,6,899.2,922.5
CT,901020,DANBURY SCHOOL DISTRICT,rla,-0.0105,0.06380825,-0.0781,0.0518,-0.364,0.03886789,-0.338,0.0367,-0.354,0.0747076,-0.259,0.0559,1753,5540,2,6,876.5,923.3
CT,901050,DARIEN SCHOOL DISTRICT,mth,1.05,0.05288061,1.04,0.0482,0.911,0.05374337,0.913,0.05,-0.141,0.07547632,-0.124,0.0635,2194,2121,6,6,365.7,353.5
CT,901050,DARIEN SCHOOL DISTRICT,rla,0.882,0.0434605,0.88,0.0391,0.823,0.04357767,0.817,0.04,-0.0596,0.0614079,-0.0629,0.0498,2190,2125,6,6,365.0,354.2
CT,901110,DERBY SCHOOL DISTRICT,mth,-0.322,0.06263416,-0.301,0.0557,-0.465,0.06552523,-0.475,0.0595,-0.143,0.09063687,-0.175,0.0717,652,562,6,6,108.7,93.7
CT,901110,DERBY SCHOOL DISTRICT,rla,-0.33,0.0547667,-0.308,0.0478,-0.366,0.06066141,-0.379,0.0525,-0.036,0.08169759,-0.0708,0.059,652,563,6,6,108.7,93.8
CT,901170,EAST GRANBY SCHOOL DISTRICT,mth,0.559,0.0655847,0.534,0.058,0.295,0.0792461,0.319,0.0692,-0.264,0.10264852,-0.215,0.0778,393,284,6,4,65.5,71.0
CT,901170,EAST GRANBY SCHOOL DISTRICT,rla,0.557,0.06784689,0.535,0.0557,0.366,0.05988591,0.378,0.0529,-0.191,0.09047034,-0.157,0.0619,393,399,6,6,65.5,66.5
CT,901200,EAST HADDAM SCHOOL DISTRICT,mth,0.336,0.06293972,0.323,0.0558,0.112,0.06517991,0.122,0.0592,-0.224,0.09061595,-0.202,0.0717,440,447,6,6,73.3,74.5
CT,901200,EAST HADDAM SCHOOL DISTRICT,rla,0.466,0.05979312,0.452,0.0509,0.328,0.058404,0.336,0.0514,-0.138,0.08358564,-0.116,0.0598,445,448,6,6,74.2,74.7
CT,901230,EAST HAMPTON SCHOOL DISTRICT,mth,0.259,0.05087839,0.268,0.0466,0.141,0.05498526,0.132,0.051,-0.117,0.07488606,-0.136,0.0632,878,810,6,6,146.3,135.0
CT,901230,EAST HAMPTON SCHOOL DISTRICT,rla,0.315,0.04696662,0.321,0.0416,0.243,0.04748125,0.236,0.043,-0.0715,0.06662599,-0.0851,0.0523,879,815,6,6,146.5,135.8
CT,901260,EAST HARTFORD SCHOOL DISTRICT,mth,-0.506,0.04930233,-0.471,0.0454,-0.553,0.05274844,-0.579,0.0491,-0.0466,0.07220322,-0.108,0.0615,2889,2633,6,6,481.5,438.8
CT,901260,EAST HARTFORD SCHOOL DISTRICT,rla,-0.298,0.04037542,-0.275,0.0368,-0.324,0.04203958,-0.341,0.0386,-0.0256,0.05825884,-0.0663,0.048,2823,2636,6,6,470.5,439.3
CT,901290,EAST HAVEN SCHOOL DISTRICT,rla,-0.0783,0.04512753,-0.0613,0.0404,-0.14,0.04508374,-0.151,0.0411,-0.062,0.06378723,-0.0901,0.051,1217,1188,6,6,202.8,198.0
CT,901290,EAST HAVEN SCHOOL DISTRICT,mth,-0.176,0.05333104,-0.148,0.0486,-0.243,0.05388168,-0.262,0.0502,-0.0667,0.07589336,-0.114,0.0638,1230,1189,6,6,205.0,198.2
CT,901320,EAST LYME SCHOOL DISTRICT,mth,0.59,0.05510053,0.568,0.0497,0.358,0.05667306,0.368,0.0525,-0.232,0.07881709,-0.201,0.0654,1114,1060,6,6,185.7,176.7
CT,901320,EAST LYME SCHOOL DISTRICT,rla,0.633,0.05316648,0.586,0.0459,0.347,0.04711645,0.377,0.043,-0.286,0.07088834,-0.209,0.0545,937,1061,5,6,187.4,176.8
CT,901350,EAST WINDSOR SCHOOL DISTRICT,mth,-0.372,0.06763714,-0.283,0.0594,-0.215,0.07250962,-0.29,0.0647,0.157,0.099107,-0.00736,0.076,374,452,5,6,74.8,75.3
CT,901350,EAST WINDSOR SCHOOL DISTRICT,rla,-0.217,0.05653143,-0.155,0.0488,-0.13,0.05846227,-0.181,0.0512,0.0869,0.08129593,-0.026,0.0588,459,454,6,6,76.5,75.7
CT,901410,EASTON SCHOOL DISTRICT,mth,0.752,0.06069672,0.749,0.0541,0.651,0.06086593,0.643,0.0559,-0.101,0.08594462,-0.105,0.0693,608,584,6,6,101.3,97.3
CT,901410,EASTON SCHOOL DISTRICT,rla,0.781,0.05742783,0.766,0.0489,0.653,0.05191825,0.657,0.0467,-0.128,0.07732745,-0.11,0.0572,608,586,6,6,101.3,97.7
CT,901440,ELLINGTON SCHOOL DISTRICT,mth,0.485,0.05333214,0.507,0.0485,0.51,0.05567963,0.483,0.0516,0.0241,0.07709526,-0.0245,0.0644,1223,1176,6,6,203.8,196.0
CT,901440,ELLINGTON SCHOOL DISTRICT,rla,0.42,0.04686339,0.449,0.0417,0.5,0.04713657,0.468,0.0427,0.0797,0.06646125,0.0196,0.0524,1222,1178,6,6,203.7,196.3
CT,901470,ENFIELD SCHOOL DISTRICT,mth,-0.0499,0.0481073,-0.0483,0.0444,-0.246,0.05105517,-0.246,0.0478,-0.196,0.0701452,-0.198,0.0602,2235,2091,6,6,372.5,348.5
CT,901470,ENFIELD SCHOOL DISTRICT,rla,-0.0191,0.04030189,-0.0153,0.0367,-0.12,0.04090442,-0.121,0.0377,-0.101,0.05740791,-0.106,0.0475,2245,2098,6,6,374.2,349.7
CT,901530,FAIRFIELD SCHOOL DISTRICT,mth,0.672,0.0470745,0.666,0.0436,0.538,0.04879071,0.537,0.0459,-0.133,0.06779058,-0.129,0.0587,4570,4121,6,6,761.7,686.8
CT,901530,FAIRFIELD SCHOOL DISTRICT,rla,0.646,0.03843002,0.646,0.0352,0.591,0.03944026,0.586,0.0366,-0.0557,0.05499525,-0.0606,0.0462,4565,4131,6,6,760.8,688.5
CT,901560,FARMINGTON SCHOOL DISTRICT,rla,0.87,0.04671594,0.841,0.0414,0.653,0.0437499,0.671,0.0401,-0.217,0.06393612,-0.17,0.051,1897,1867,6,6,316.2,311.2
CT,901560,FARMINGTON SCHOOL DISTRICT,mth,0.816,0.05317341,0.798,0.0484,0.615,0.05361436,0.623,0.0499,-0.2,0.07552118,-0.175,0.0635,1908,1861,6,6,318.0,310.2
CT,901620,GLASTONBURY SCHOOL DISTRICT,mth,0.808,0.0502421,0.799,0.0461,0.661,0.0516899,0.661,0.0483,-0.147,0.07209811,-0.138,0.0614,2661,2497,6,6,443.5,416.2
CT,901620,GLASTONBURY SCHOOL DISTRICT,rla,0.735,0.04223101,0.731,0.0381,0.641,0.0424027,0.64,0.0389,-0.0937,0.05980858,-0.0919,0.0488,2649,2499,6,6,441.5,416.5
CT,901680,GRANBY SCHOOL DISTRICT,mth,0.45,0.05478647,0.435,0.0497,0.203,0.05800892,0.214,0.0535,-0.247,0.07973668,-0.221,0.066,810,771,6,6,135.0,128.5
CT,901680,GRANBY SCHOOL DISTRICT,rla,0.588,0.05049095,0.563,0.0443,0.375,0.05041512,0.394,0.0453,-0.213,0.07127184,-0.169,0.0546,813,771,6,6,135.5,128.5
CT,901710,GREENWICH SCHOOL DISTRICT,mth,0.741,0.04831745,0.739,0.0446,0.657,0.05036461,0.65,0.0472,-0.0834,0.06979569,-0.0895,0.06,4137,3872,6,6,689.5,645.3
CT,901710,GREENWICH SCHOOL DISTRICT,rla,0.731,0.04009248,0.732,0.0365,0.678,0.04051416,0.672,0.0375,-0.0523,0.05690784,-0.0603,0.0473,4082,3881,6,6,680.3,646.8
CT,901740,GRISWOLD SCHOOL DISTRICT,mth,0.262,0.05640485,0.207,0.0511,-0.304,0.0599318,-0.247,0.055,-0.566,0.08235178,-0.454,0.0675,779,730,6,6,129.8,121.7
CT,901740,GRISWOLD SCHOOL DISTRICT,rla,0.115,0.04791026,0.0725,0.0426,-0.261,0.04964425,-0.214,0.0445,-0.377,0.06899385,-0.287,0.0535,779,730,6,6,129.8,121.7
CT,901770,GROTON SCHOOL DISTRICT,mth,0.124,0.04889536,0.129,0.0451,-0.0512,0.05178501,-0.0537,0.0484,-0.175,0.07123392,-0.183,0.0609,1915,1735,6,6,319.2,289.2
CT,901770,GROTON SCHOOL DISTRICT,rla,0.184,0.04209692,0.191,0.0381,0.117,0.04355078,0.11,0.0399,-0.0667,0.06051534,-0.0804,0.0493,1911,1737,6,6,318.5,289.5
CT,901800,GUILFORD SCHOOL DISTRICT,mth,0.811,0.05328244,0.792,0.0485,0.585,0.05425296,0.596,0.0505,-0.226,0.07602682,-0.195,0.0638,1547,1381,6,6,257.8,230.2
CT,901800,GUILFORD SCHOOL DISTRICT,rla,0.807,0.04742564,0.785,0.0418,0.656,0.04660927,0.666,0.0425,-0.15,0.06600624,-0.119,0.052,1544,1382,6,6,257.3,230.3
CT,901860,HAMDEN SCHOOL DISTRICT,rla,0.0566,0.04702058,0.0563,0.0418,-0.0822,0.04308142,-0.0782,0.0395,-0.139,0.064162,-0.135,0.0515,1983,2396,5,6,396.6,399.3
CT,901860,HAMDEN SCHOOL DISTRICT,mth,0.105,0.05546616,0.0875,0.0501,-0.228,0.05295735,-0.21,0.0494,-0.334,0.07717541,-0.298,0.0645,1990,2381,5,6,398.0,396.8
CT,901920,HARTFORD SCHOOL DISTRICT,mth,-0.705,0.04728384,-0.7,0.0438,-1.05,0.0520058,-1.04,0.0485,-0.342,0.07029584,-0.336,0.0604,8414,7198,6,6,1402.3,1199.7
CT,901920,HARTFORD SCHOOL DISTRICT,rla,-0.651,0.05055874,-0.628,0.0423,-0.856,0.04108026,-0.845,0.0385,-0.205,0.06366351,-0.217,0.0496,5294,7286,4,6,1323.5,1214.3
CT,902070,KILLINGLY SCHOOL DISTRICT,mth,0.0142,0.05175503,0.00241,0.0473,-0.312,0.05505065,-0.295,0.0511,-0.326,0.07552702,-0.297,0.0635,976,979,6,6,162.7,163.2
CT,902070,KILLINGLY SCHOOL DISTRICT,rla,0.155,0.0448839,0.141,0.0402,-0.0899,0.04529729,-0.0735,0.0412,-0.245,0.06374863,-0.215,0.0509,981,982,6,6,163.5,163.7
CT,902160,LEDYARD SCHOOL DISTRICT,mth,0.108,0.05305209,0.122,0.0483,-0.0212,0.05491018,-0.0303,0.051,-0.13,0.07631419,-0.152,0.064,1072,1067,6,6,178.7,177.8
CT,902160,LEDYARD SCHOOL DISTRICT,rla,0.049,0.04753465,0.0714,0.0421,0.0261,0.04713603,0.00885,0.0428,-0.0229,0.06683463,-0.0626,0.0524,1074,1067,6,6,179.0,177.8
CT,902310,MANCHESTER SCHOOL DISTRICT,mth,-0.365,0.06532738,-0.352,0.0566,-0.637,0.05351915,-0.629,0.05,-0.272,0.08458219,-0.277,0.0683,1820,2548,4,6,455.0,424.7
CT,902310,MANCHESTER SCHOOL DISTRICT,rla,-0.359,0.04137331,-0.355,0.0376,-0.493,0.04281073,-0.491,0.0392,-0.134,0.05950585,-0.136,0.0487,2594,2570,6,6,432.3,428.3
CT,902340,MANSFIELD SCHOOL DISTRICT,mth,0.706,0.07594116,0.666,0.0642,0.46,0.06247668,0.471,0.0575,-0.245,0.09849066,-0.195,0.0752,494,639,4,6,123.5,106.5
CT,902340,MANSFIELD SCHOOL DISTRICT,rla,0.694,0.07317679,0.672,0.0581,0.564,0.05503391,0.567,0.0495,-0.13,0.09244899,-0.105,0.063,490,644,4,6,122.5,107.3
CT,902400,MERIDEN SCHOOL DISTRICT,rla,-0.0569,0.03907394,-0.0514,0.0358,-0.132,0.03966078,-0.134,0.0367,-0.0754,0.05568666,-0.0831,0.0466,3485,3905,6,6,580.8,650.8
CT,902400,MERIDEN SCHOOL DISTRICT,mth,-0.127,0.04768808,-0.124,0.0441,-0.326,0.04979613,-0.326,0.0467,-0.199,0.06896363,-0.203,0.0595,3520,3881,6,6,586.7,646.8
CT,902490,MIDDLETOWN SCHOOL DISTRICT,rla,0.0337,0.04249125,0.0405,0.0384,-0.0422,0.04306898,-0.0466,0.0395,-0.076,0.06049928,-0.0871,0.0493,1935,2012,6,6,322.5,335.3
CT,902490,MIDDLETOWN SCHOOL DISTRICT,mth,-0.0682,0.05077698,-0.079,0.0466,-0.373,0.05295294,-0.359,0.0493,-0.304,0.07339834,-0.28,0.0623,1954,2006,6,6,325.7,334.3
CT,902520,MILFORD SCHOOL DISTRICT,mth,0.4,0.05371801,0.381,0.0487,0.121,0.04988032,0.133,0.0468,-0.28,0.07374568,-0.248,0.0624,2035,2331,5,6,407.0,388.5
CT,902520,MILFORD SCHOOL DISTRICT,rla,0.379,0.04419616,0.365,0.0397,0.195,0.04055252,0.204,0.0375,-0.184,0.06029709,-0.161,0.0495,2017,2334,5,6,403.4,389.0
CT,902550,MONROE SCHOOL DISTRICT,mth,0.708,0.05276455,0.672,0.048,0.399,0.05213123,0.419,0.0487,-0.31,0.07409005,-0.253,0.0626,1414,1484,6,6,235.7,247.3
CT,902550,MONROE SCHOOL DISTRICT,rla,0.816,0.04719986,0.788,0.0416,0.636,0.04424649,0.65,0.0406,-0.18,0.06444157,-0.138,0.0511,1416,1492,6,6,236.0,248.7
CT,902580,MONTVILLE SCHOOL DISTRICT,mth,0.378,0.05514583,0.332,0.0499,-0.0313,0.05681211,0.00369,0.0526,-0.409,0.07913766,-0.329,0.0656,966,958,6,6,161.0,159.7
CT,902580,MONTVILLE SCHOOL DISTRICT,rla,0.306,0.04891262,0.279,0.043,0.11,0.04703299,0.127,0.0428,-0.197,0.06761434,-0.153,0.0528,968,960,6,6,161.3,160.0
CT,902640,NAUGATUCK SCHOOL DISTRICT,mth,0.103,0.05032289,0.0827,0.0462,-0.254,0.05265373,-0.232,0.0491,-0.357,0.07283277,-0.315,0.0619,1974,1917,6,6,329.0,319.5
CT,902640,NAUGATUCK SCHOOL DISTRICT,rla,0.108,0.0421302,0.0848,0.0381,-0.167,0.04316209,-0.142,0.0395,-0.274,0.06029184,-0.226,0.0491,1960,1922,6,6,326.7,320.3
CT,902670,NEW BRITAIN SCHOOL DISTRICT,mth,-0.983,0.05247725,-0.969,0.0482,-1.3,0.06005811,-1.3,0.0549,-0.321,0.07947594,-0.327,0.0659,4600,4382,6,6,766.7,730.3
CT,902670,NEW BRITAIN SCHOOL DISTRICT,rla,-0.704,0.05432328,-0.706,0.0463,-0.925,0.0442992,-0.914,0.0405,-0.221,0.07109653,-0.209,0.0549,3118,4415,4,6,779.5,735.8
CT,902700,NEW CANAAN SCHOOL DISTRICT,mth,1.25,0.05832375,1.2,0.0523,0.99,0.05445422,1.01,0.0507,-0.259,0.07989858,-0.195,0.066,1977,1908,6,6,329.5,318.0
CT,902700,NEW CANAAN SCHOOL DISTRICT,rla,1.14,0.05000421,1.09,0.0434,0.94,0.04609227,0.957,0.0423,-0.201,0.06714578,-0.135,0.0525,1971,1908,6,6,328.5,318.0
CT,902730,NEW FAIRFIELD SCHOOL DISTRICT,rla,0.504,0.04731814,0.516,0.0419,0.441,0.0464683,0.431,0.0423,-0.063,0.06619852,-0.0848,0.0521,967,949,6,6,161.2,158.2
CT,902730,NEW FAIRFIELD SCHOOL DISTRICT,mth,0.543,0.05383862,0.55,0.049,0.445,0.05505008,0.435,0.0511,-0.0983,0.07702115,-0.115,0.0644,964,948,6,6,160.7,158.0
CT,902790,NEW HAVEN SCHOOL DISTRICT,mth,-0.495,0.04624415,-0.512,0.0429,-1.0,0.05061409,-0.971,0.0474,-0.508,0.06856067,-0.459,0.0593,9204,8179,6,6,1534.0,1363.2
CT,902790,NEW HAVEN SCHOOL DISTRICT,rla,-0.346,0.03714472,-0.356,0.0342,-0.645,0.03927439,-0.625,0.0364,-0.299,0.0539845,-0.268,0.0456,9125,8248,6,6,1520.8,1374.7
CT,902850,NEW MILFORD SCHOOL DISTRICT,mth,0.153,0.05470878,0.136,0.0496,-0.162,0.05228217,-0.147,0.0488,-0.316,0.07591536,-0.283,0.0638,1413,1525,5,6,282.6,254.2
CT,902850,NEW MILFORD SCHOOL DISTRICT,rla,0.121,0.04649881,0.106,0.0415,-0.0943,0.04310038,-0.0812,0.0395,-0.215,0.06366047,-0.187,0.0513,1413,1540,5,6,282.6,256.7
CT,902880,NEWINGTON SCHOOL DISTRICT,mth,0.196,0.04886557,0.199,0.045,0.00587,0.05151569,0.00598,0.0482,-0.19,0.07101118,-0.193,0.0608,1890,1692,6,6,315.0,282.0
CT,902880,NEWINGTON SCHOOL DISTRICT,rla,0.123,0.04145471,0.144,0.0376,0.124,0.0434072,0.105,0.0397,0.001,0.05992742,-0.0386,0.049,1882,1705,6,6,313.7,284.2
CT,902910,NEWTOWN SCHOOL DISTRICT,mth,0.572,0.05021346,0.583,0.0461,0.521,0.05192984,0.507,0.0485,-0.0513,0.07224604,-0.0759,0.0615,1858,1732,6,6,309.7,288.7
CT,902910,NEWTOWN SCHOOL DISTRICT,rla,0.573,0.04310878,0.58,0.0387,0.547,0.04359648,0.535,0.04,-0.0254,0.06108516,-0.0445,0.0496,1857,1734,6,6,309.5,289.0
CT,902970,NORTH BRANFORD SCHOOL DISTRIC,mth,0.226,0.06062767,0.267,0.0541,0.275,0.05682755,0.241,0.0527,0.0487,0.08306511,-0.0258,0.0677,669,722,5,6,133.8,120.3
CT,902970,NORTH BRANFORD SCHOOL DISTRIC,rla,0.109,0.05418109,0.179,0.0469,0.3,0.04946525,0.246,0.0447,0.192,0.07349642,0.0676,0.0558,670,724,5,6,134.0,120.7
CT,903030,NORTH HAVEN SCHOOL DISTRICT,mth,0.519,0.05209134,0.512,0.0476,0.336,0.05338765,0.339,0.0497,-0.183,0.0746062,-0.173,0.063,1380,1388,6,6,230.0,231.3
CT,903030,NORTH HAVEN SCHOOL DISTRICT,rla,0.532,0.04551331,0.528,0.0407,0.428,0.04496691,0.428,0.041,-0.104,0.06393909,-0.0996,0.0511,1383,1391,6,6,230.5,231.8
CT,903060,NORTH STONINGTON SCHOOL DISTR,rla,0.678,0.06396448,0.653,0.0541,0.512,0.06961158,0.529,0.059,-0.166,0.09429512,-0.124,0.064,343,294,6,5,57.2,58.8
CT,903060,NORTH STONINGTON SCHOOL DISTR,mth,0.834,0.06932135,0.771,0.0599,0.511,0.06344848,0.54,0.0582,-0.323,0.09393016,-0.232,0.073,343,344,6,6,57.2,57.3
CT,903090,NORWALK SCHOOL DISTRICT,mth,-0.0397,0.04679544,-0.0424,0.0434,-0.304,0.04894856,-0.297,0.046,-0.264,0.06772787,-0.255,0.0587,5150,4842,6,6,858.3,807.0
CT,903090,NORWALK SCHOOL DISTRICT,rla,0.00613,0.04659636,-0.000381,0.0413,-0.175,0.03896126,-0.167,0.0363,-0.181,0.06085109,-0.167,0.0496,3317,4865,4,6,829.3,810.8
CT,903120,NORWICH SCHOOL DISTRICT,mth,-0.397,0.05079968,-0.415,0.0467,-0.831,0.05820599,-0.797,0.0535,-0.435,0.07722684,-0.382,0.0646,2107,2051,6,6,351.2,341.8
CT,903120,NORWICH SCHOOL DISTRICT,rla,-0.501,0.05949587,-0.484,0.0482,-0.584,0.04556244,-0.59,0.0422,-0.0825,0.07415385,-0.106,0.0544,1354,2070,4,6,338.5,345.0
CT,903180,OLD SAYBROOK SCHOOL DISTRICT,mth,0.507,0.0582519,0.504,0.0524,0.343,0.06427437,0.342,0.0584,-0.164,0.08671932,-0.162,0.0698,523,469,6,6,87.2,78.2
CT,903180,OLD SAYBROOK SCHOOL DISTRICT,rla,0.524,0.05344814,0.521,0.0465,0.423,0.05543062,0.421,0.049,-0.101,0.07689647,-0.1,0.0571,520,473,6,6,86.7,78.8
CT,903210,ORANGE SCHOOL DISTRICT,mth,0.621,0.07648984,0.572,0.064,0.574,0.0789491,0.484,0.0664,-0.0466,0.09370114,-0.0886,0.0733,666,677,4,4,166.5,169.3
CT,903210,ORANGE SCHOOL DISTRICT,rla,0.689,0.07010475,0.647,0.0568,0.644,0.06735577,0.574,0.0536,-0.0457,0.08313325,-0.0734,0.0598,669,677,4,4,167.3,169.3
CT,903240,OXFORD SCHOOL DISTRICT,mth,0.322,0.05151556,0.321,0.0472,0.152,0.06087685,0.15,0.0556,-0.17,0.07965111,-0.17,0.0662,854,617,6,5,142.3,123.4
CT,903240,OXFORD SCHOOL DISTRICT,rla,0.344,0.0461996,0.355,0.0412,0.304,0.04918064,0.291,0.0443,-0.0398,0.06723408,-0.0644,0.0528,854,748,6,6,142.3,124.7
CT,903270,PLAINFIELD SCHOOL DISTRICT,mth,0.0623,0.0520723,0.0531,0.0476,-0.226,0.05463935,-0.214,0.0507,-0.289,0.07547844,-0.267,0.0635,965,885,6,6,160.8,147.5
CT,903270,PLAINFIELD SCHOOL DISTRICT,rla,0.146,0.0471609,0.144,0.0419,-0.0276,0.04633197,-0.0226,0.0421,-0.174,0.06610197,-0.166,0.0521,960,886,6,6,160.0,147.7
CT,903300,PLAINVILLE SCHOOL DISTRICT,rla,0.291,0.04550226,0.274,0.0407,0.117,0.04680843,0.131,0.0424,-0.174,0.06519999,-0.143,0.0517,1037,1039,6,6,172.8,173.2
CT,903300,PLAINVILLE SCHOOL DISTRICT,mth,0.253,0.05360323,0.235,0.0487,-0.0445,0.0549243,-0.0288,0.051,-0.297,0.07674024,-0.264,0.0642,1040,1038,6,6,173.3,173.0
CT,903330,PLYMOUTH SCHOOL DISTRICT,mth,0.237,0.05600953,0.24,0.0506,0.0119,0.05734485,0.0176,0.053,-0.225,0.08012692,-0.223,0.0662,652,584,6,6,108.7,97.3
CT,903330,PLYMOUTH SCHOOL DISTRICT,rla,0.209,0.05273739,0.223,0.046,0.124,0.05410182,0.113,0.0479,-0.0847,0.07554863,-0.11,0.0563,651,585,6,6,108.5,97.5
CT,903390,PORTLAND SCHOOL DISTRICT,mth,0.429,0.06211557,0.425,0.0552,0.263,0.06662798,0.262,0.0603,-0.166,0.09106136,-0.162,0.072,597,594,6,6,99.5,99.0
CT,903390,PORTLAND SCHOOL DISTRICT,rla,0.402,0.05946173,0.401,0.0502,0.302,0.05938011,0.3,0.052,-0.1,0.08398378,-0.1,0.0593,598,594,6,6,99.7,99.0
CT,903480,PUTNAM SCHOOL DISTRICT,mth,-0.0555,0.05897238,-0.0624,0.0531,-0.31,0.06745992,-0.296,0.0607,-0.254,0.08961958,-0.234,0.0713,526,499,6,6,87.7,83.2
CT,903480,PUTNAM SCHOOL DISTRICT,rla,0.0432,0.05326635,0.0104,0.0471,-0.256,0.06668103,-0.19,0.055,-0.299,0.08580444,-0.201,0.0596,525,419,6,5,87.5,83.8
CT,903510,REDDING SCHOOL DISTRICT,mth,0.84,0.06359913,0.819,0.0561,0.677,0.0649831,0.681,0.0591,-0.164,0.0909189,-0.139,0.0717,531,498,6,6,88.5,83.0
CT,903510,REDDING SCHOOL DISTRICT,rla,0.767,0.05827249,0.732,0.0496,0.59,0.05627623,0.608,0.0498,-0.177,0.08093093,-0.125,0.0584,531,503,6,6,88.5,83.8
CT,903520,REGIONAL SCHOOL DISTRICT 10,mth,0.59,0.05367179,0.558,0.0487,0.28,0.05444969,0.299,0.0507,-0.31,0.07623298,-0.258,0.0639,1019,993,6,6,169.8,165.5
CT,903520,REGIONAL SCHOOL DISTRICT 10,rla,0.507,0.04709269,0.485,0.0417,0.304,0.04519083,0.32,0.0413,-0.203,0.06509923,-0.165,0.0517,1020,995,6,6,170.0,165.8
CT,903535,REGIONAL SCHOOL DISTRICT 13,mth,0.491,0.06131382,0.459,0.0544,0.123,0.06020744,0.153,0.0554,-0.368,0.08589168,-0.307,0.0691,708,596,6,6,118.0,99.3
CT,903535,REGIONAL SCHOOL DISTRICT 13,rla,0.484,0.05493566,0.469,0.0473,0.314,0.05480708,0.325,0.0486,-0.17,0.07753787,-0.144,0.057,708,598,6,6,118.0,99.7
CT,903536,REGIONAL SCHOOL DISTRICT 14,mth,0.207,0.05677255,0.243,0.0512,0.276,0.06069945,0.236,0.0556,0.0698,0.08310703,-0.00726,0.0678,650,585,6,6,108.3,97.5
CT,903536,REGIONAL SCHOOL DISTRICT 14,rla,0.241,0.04971762,0.263,0.0439,0.26,0.05378141,0.233,0.0477,0.0191,0.07311658,-0.0296,0.0554,650,588,6,6,108.3,98.0
CT,903537,REGIONAL SCHOOL DISTRICT 15,rla,0.575,0.04368901,0.53,0.0392,0.256,0.0424544,0.291,0.0391,-0.319,0.06084781,-0.239,0.0494,1595,1575,6,6,265.8,262.5
CT,903537,REGIONAL SCHOOL DISTRICT 15,mth,0.642,0.05072521,0.615,0.0464,0.351,0.05162104,0.369,0.0483,-0.291,0.07234496,-0.247,0.0615,1593,1559,6,6,265.5,259.8
