fips,stateabb,sedaadmin,sedaadminname,subject,subgroup,ys_mn19_ol,ys_mn19_ol_se,ys_mn19_eb,ys_mn19_eb_se,ys_mn22_ol,ys_mn22_ol_se,ys_mn22_eb,ys_mn22_eb_se,ys_chg_ol,ys_chg_ol_se,ys_chg_eb,ys_chg_eb_se,tot_asmt19,tot_asmt22,cell19,cell22,avg_asmt19,avg_asmt22
1,AL,100840,COLBERT COUNTY,mth,all,-.544,.05317567,-.522,.0474,-.458,.0533889,-.474,.0494,.0862,.07533323,.0475,.0614,1190,1153,6,6,198.3,192.2
1,AL,100840,COLBERT COUNTY,mth,ecd,-.653,.05325841,-.636,.0462,-.587,.05403249,-.599,.0499,.0663,.07584174,.037,.0603,916,803,6,6,152.7,133.8
1,AL,100840,COLBERT COUNTY,mth,wht,-.478,.05529999,-.461,.0515,-.413,.05577347,-.417,.0524,.0649,.07851071,.0434,.0688,939,922,6,6,156.5,153.7
1,AL,100840,COLBERT COUNTY,rla,all,-.357,.04049092,-.357,.0366,-.353,.04032556,-.351,.037,.0044,.05718466,.00595,.0468,1185,1152,6,6,197.5,192
1,AL,100840,COLBERT COUNTY,rla,ecd,-.478,.04310347,-.49,.0388,-.511,.0443323,-.499,.0402,-.0329,.06188102,-.00898,.05,912,802,6,6,152,133.7
1,AL,100840,COLBERT COUNTY,rla,wht,-.268,.04251045,-.259,.04,-.309,.04187561,-.31,.0398,-.0407,.05970933,-.0509,.0535,940,920,6,6,156.7,153.3
1,AL,100870,CONECUH COUNTY,mth,all,-.637,.05907251,-.63,.0518,-.688,.05933203,-.688,.0542,-.0513,.08373424,-.0572,.0658,612,604,6,6,102,100.7
1,AL,100870,CONECUH COUNTY,mth,blk,-.664,.06052556,-.674,.0532,-.738,.05992281,-.732,.0552,-.0742,.08517149,-.0582,.069,479,463,6,6,79.8,77.2
1,AL,100870,CONECUH COUNTY,mth,ecd,-.656,.06216971,-.67,.0519,-.751,.05937429,-.74,.0544,-.095,.08599477,-.0699,.0648,390,459,6,6,65,76.5
1,AL,100870,CONECUH COUNTY,rla,all,-.637,.04766675,-.607,.0421,-.508,.04823942,-.53,.0431,.129,.06787217,.0765,.0521,609,603,6,6,101.5,100.5
1,AL,100870,CONECUH COUNTY,rla,blk,-.691,.05150012,-.665,.0449,-.584,.05321805,-.604,.0473,.107,.07406105,.061,.0565,476,458,6,6,79.3,76.3
1,AL,100870,CONECUH COUNTY,rla,ecd,-.724,.05779378,-.701,.0488,-.623,.05151848,-.636,.0461,.101,.07761832,.0652,.0572,387,461,6,6,64.5,76.8
1,AL,100900,COOSA COUNTY,mth,all,-.672,.06451709,-.673,.0556,-.755,.06561469,-.746,.0591,-.0825,.09202641,-.073,.0697,411,387,6,6,68.5,64.5
1,AL,100900,COOSA COUNTY,rla,all,-.442,.05776985,-.457,.0494,-.514,.05984994,-.492,.0517,-.0719,.08317831,-.035,.0583,410,386,6,6,68.3,64.3
1,AL,100930,COVINGTON COUNTY,mth,all,-.268,.0522025,-.237,.0467,-.0614,.05212304,-.0905,.0483,.207,.07376999,.147,.0605,1387,1322,6,6,231.2,220.3
1,AL,100930,COVINGTON COUNTY,mth,ecd,-.426,.05284113,-.407,.0459,-.234,.05491015,-.26,.0506,.192,.07620548,.147,.0605,900,761,6,6,150,126.8
1,AL,100930,COVINGTON COUNTY,mth,wht,-.244,.05352041,-.214,.05,-.022,.0532277,-.0486,.0502,.222,.0754793,.165,.0666,1226,1167,6,6,204.3,194.5
1,AL,100930,COVINGTON COUNTY,rla,all,-.0982,.03757771,-.097,.0344,-.0614,.03794774,-.0649,.0351,.0369,.05340256,.0321,.0447,1386,1323,6,6,231,220.5
1,AL,100930,COVINGTON COUNTY,rla,ecd,-.256,.04235089,-.267,.0383,-.264,.04403345,-.261,.0401,-.00761,.06109295,.00599,.0497,900,756,6,6,150,126
1,AL,100930,COVINGTON COUNTY,rla,wht,-.0628,.03768065,-.0553,.0359,-.0441,.03791858,-.0502,.0363,.0187,.05345258,.00511,.0488,1226,1170,6,6,204.3,195
1,AL,100960,CRENSHAW COUNTY,mth,all,-.396,.05367492,-.399,.0478,-.42,.05463982,-.417,.0504,-.0239,.07657072,-.0175,.0621,995,1025,6,6,165.8,170.8
1,AL,100960,CRENSHAW COUNTY,mth,blk,-.6,.06573437,-.619,.0568,-.688,.06565909,-.678,.0598,-.0881,.09294318,-.0586,.0729,307,312,6,6,51.2,52
1,AL,100960,CRENSHAW COUNTY,mth,ecd,-.573,.06000193,-.58,.0505,-.603,.05624256,-.599,.0519,-.0303,.08227529,-.0184,.0631,466,657,6,6,77.7,109.5
1,AL,100960,CRENSHAW COUNTY,mth,wht,-.305,.05857864,-.304,.0542,-.283,.05891805,-.28,.055,.0216,.08307328,.0234,.0717,641,672,6,6,106.8,112
1,AL,100960,CRENSHAW COUNTY,rla,all,-.32,.03887594,-.34,.0354,-.451,.04083102,-.429,.0374,-.131,.05639834,-.0885,.0464,995,1027,6,6,165.8,171.2
1,AL,100960,CRENSHAW COUNTY,rla,blk,-.583,.05596198,-.589,.0481,-.594,.05836138,-.587,.051,-.0117,.08093751,.0019,.0595,307,312,6,6,51.2,52
1,AL,100960,CRENSHAW COUNTY,rla,ecd,-.521,.05060419,-.545,.044,-.616,.04571097,-.598,.0416,-.0953,.06822179,-.0529,.0532,467,660,6,6,77.8,110
1,AL,100960,CRENSHAW COUNTY,rla,wht,-.174,.04299108,-.183,.0405,-.365,.0469616,-.348,.044,-.191,.06364281,-.165,.0562,641,672,6,6,106.8,112
1,AL,100990,CULLMAN CITY,mth,all,.213,.05279326,.218,.0472,.357,.05283147,.344,.0489,.144,.0747028,.127,.0611,1514,1493,6,6,252.3,248.8
1,AL,100990,CULLMAN CITY,mth,ecd,-.176,.0613943,-.181,.0516,-.00376,.06237336,-.0243,.0566,.173,.08752756,.157,.0657,423,475,6,6,70.5,79.2
1,AL,100990,CULLMAN CITY,mth,wht,.248,.05487678,.263,.0512,.375,.05444806,.35,.0513,.127,.07732142,.0878,.068,1315,1295,6,6,219.2,215.8
1,AL,100990,CULLMAN CITY,rla,all,.282,.03694185,.286,.0339,.405,.03875743,.392,.0357,.123,.05357955,.106,.0448,1511,1498,6,6,251.8,249.7
1,AL,100990,CULLMAN CITY,rla,ecd,-.137,.05480964,-.138,.0473,-.0142,.05639173,-.0439,.0494,.123,.07868397,.0937,.0579,420,476,6,6,70,79.3
1,AL,100990,CULLMAN CITY,rla,wht,.34,.03701151,.349,.0353,.42,.03888244,.403,.0371,.0806,.05371338,.0548,.049,1315,1295,6,6,219.2,215.8
1,AL,101020,CULLMAN COUNTY,mth,all,-.174,.04793396,-.184,.0435,-.211,.04801871,-.205,.0449,-.0372,.06783883,-.0209,.0571,4315,4429,6,6,719.2,738.2
1,AL,101020,CULLMAN COUNTY,mth,ecd,-.358,.0474792,-.371,.0421,-.35,.04855715,-.346,.0454,.00816,.06790979,.0257,.0561,2564,2104,6,6,427.3,350.7
1,AL,101020,CULLMAN COUNTY,mth,hsp,-.314,.05665337,-.34,.0487,-.411,.0569082,-.39,.0497,-.0968,.08032567,-.0506,.0584,445,441,6,6,74.2,73.5
1,AL,101020,CULLMAN COUNTY,mth,wht,-.145,.04922745,-.147,.0464,-.198,.04918528,-.195,.0467,-.0533,.06957703,-.0484,.0624,3547,3632,6,6,591.2,605.3
1,AL,101020,CULLMAN COUNTY,rla,all,-.132,.02956739,-.133,.0279,-.119,.03035061,-.118,.0287,.0126,.04234839,.015,.0376,4314,4428,6,6,719,738
1,AL,101020,CULLMAN COUNTY,rla,ecd,-.324,.03307402,-.325,.0309,-.271,.03566068,-.276,.0333,.0529,.04863869,.0498,.0423,2564,2106,6,6,427.3,351
