Online_months,stateabb,sedaadmin,sedaadminname,ys_mn19_ol,ys_mn19_ol_se,ys_mn19_eb,ys_mn19_eb_se,ys_mn22_ol,ys_mn22_ol_se,ys_mn22_eb,ys_mn22_eb_se,ys_chg_ol,ys_chg_ol_se,ys_chg_eb,ys_chg_eb_se,tot_asmt19,tot_asmt22,cell19,cell22,avg_asmt19,avg_asmt22
8,AL,100600,CHAMBERS COUNTY,-0.352,0.03554208,-0.361,0.0328,-0.42,0.03672703,-0.411,0.0341,-0.0684,0.05102145,-0.0508,0.0433,1568,1532,6,6,261.3,255.3
0,AL,100630,CHEROKEE COUNTY,-0.272,0.03504566,-0.245,0.0324,-0.0576,0.03564439,-0.085,0.0332,0.215,0.04997516,0.16,0.0426,1752,1694,6,6,292.0,282.3
0,AL,100660,CHILTON COUNTY,-0.343,0.03094489,-0.355,0.029,-0.458,0.03109919,-0.446,0.0294,-0.114,0.04386075,-0.091,0.0386,3531,3517,6,6,588.5,586.2
2,AL,100690,CHOCTAW COUNTY,-0.736,0.05147478,-0.69,0.0449,-0.585,0.05269599,-0.621,0.0465,0.151,0.07365,0.0695,0.0547,554,464,6,6,92.3,77.3
0,AL,100720,CLARKE COUNTY,-0.364,0.04151593,-0.382,0.0375,-0.485,0.04143955,-0.465,0.0379,-0.12,0.05865687,-0.0827,0.0476,1042,1014,6,6,173.7,169.0
2,AL,100750,CLAY COUNTY,-0.317,0.042599,-0.31,0.0384,-0.277,0.04466519,-0.283,0.0404,0.0396,0.06169218,0.0273,0.0493,850,876,6,6,141.7,146.0
5,AL,100780,CLEBURNE COUNTY,-0.0858,0.04015239,-0.0802,0.0364,-0.0361,0.03877306,-0.0418,0.0358,0.0497,0.05581796,0.0385,0.0461,1137,1151,6,6,189.5,191.8
0,AL,100810,COFFEE COUNTY,-0.151,0.03968182,-0.141,0.0361,-0.0696,0.03929294,-0.0811,0.0362,0.081,0.05580108,0.0598,0.0461,1103,1291,6,6,183.8,215.2
0,AL,100840,COLBERT COUNTY,-0.357,0.04049092,-0.357,0.0366,-0.353,0.04032556,-0.351,0.037,0.0044,0.05718466,0.00595,0.0468,1185,1152,6,6,197.5,192.0
2,AL,100870,CONECUH COUNTY,-0.637,0.04766675,-0.607,0.0421,-0.508,0.04823942,-0.53,0.0431,0.129,0.06787217,0.0765,0.0521,609,603,6,6,101.5,100.5
5,AL,100900,COOSA COUNTY,-0.442,0.05776985,-0.457,0.0494,-0.514,0.05984994,-0.492,0.0517,-0.0719,0.08317831,-0.035,0.0583,410,386,6,6,68.3,64.3
0,AL,100930,COVINGTON COUNTY,-0.0982,0.03757771,-0.097,0.0344,-0.0614,0.03794774,-0.0649,0.0351,0.0369,0.05340256,0.0321,0.0447,1386,1323,6,6,231.0,220.5
0,AL,100960,CRENSHAW COUNTY,-0.32,0.03887594,-0.34,0.0354,-0.451,0.04083102,-0.429,0.0374,-0.131,0.05639834,-0.0885,0.0464,995,1027,6,6,165.8,171.2
7,AL,100990,CULLMAN CITY,0.282,0.03694185,0.286,0.0339,0.405,0.03875743,0.392,0.0357,0.123,0.05357955,0.106,0.0448,1511,1498,6,6,251.8,249.7
0,AL,101020,CULLMAN COUNTY,-0.132,0.02956739,-0.133,0.0279,-0.119,0.03035061,-0.118,0.0287,0.0126,0.04234839,0.015,0.0376,4314,4428,6,6,719.0,738.0
0,AL,101050,DALE COUNTY,-0.0108,0.03632119,-0.0267,0.0334,-0.0839,0.03806351,-0.0702,0.0352,-0.0731,0.05259309,-0.0435,0.0442,1442,1451,6,6,240.3,241.8
0,AL,101080,DALEVILLE CITY,-0.479,0.06135291,-0.471,0.0502,-0.444,0.05459126,-0.451,0.0483,0.0353,0.08249358,0.0198,0.0574,400,528,5,6,80.0,88.0
7,AL,101110,DALLAS COUNTY,-0.608,0.03774714,-0.639,0.0346,-0.855,0.03927863,-0.82,0.0361,-0.247,0.05440554,-0.181,0.0452,1371,1203,6,6,228.5,200.5
0,AL,101140,DEKALB COUNTY,-0.523,0.03135982,-0.508,0.0293,-0.407,0.03090605,-0.42,0.0292,0.115,0.04402229,0.0881,0.0387,4006,3923,6,6,667.7,653.8
8,AL,101170,DECATUR CITY,-0.334,0.03132215,-0.342,0.0293,-0.399,0.03152874,-0.391,0.0297,-0.0656,0.0444246,-0.0498,0.039,3979,3911,6,6,663.2,651.8
0,AL,101200,DEMOPOLIS CITY,-0.375,0.04301542,-0.348,0.0385,-0.252,0.04476724,-0.275,0.0405,0.124,0.0621914,0.0731,0.0494,1026,934,6,6,171.0,155.7
